file,pulse_index,split
100us_barker11_0Mhz_-10Mhz_recorded.npy,0,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,1,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,2,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,3,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,4,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,5,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,6,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,7,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,8,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,9,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,10,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,11,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,12,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,13,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,14,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,15,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,16,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,17,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,18,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,19,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,20,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,21,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,22,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,23,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,24,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,25,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,26,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,27,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,28,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,29,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,30,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,31,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,32,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,33,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,34,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,35,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,36,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,37,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,38,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,39,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,40,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,41,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,42,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,43,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,44,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,45,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,46,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,47,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,48,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,49,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,50,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,51,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,52,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,53,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,54,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,55,validation
100us_barker11_0Mhz_-10Mhz_recorded.npy,56,train
100us_barker11_0Mhz_-10Mhz_recorded.npy,57,train
